pnu;name;data_type
2221;P0.713.0.0_serialNumberMotor;STRING(20)
2222;P0.713.1.0_serialNumberMotor;STRING(20)
2223;P0.717.0.0_numberPolePairs;UDINT
2224;P0.717.1.0_numberPolePairs;UDINT
2225;P0.739.0.0_hardwareVersionMinorDevice;UINT
2234;P0.748.0.0_hardwareCompatibilityIndexDevice;UINT
2235;P0.790.0.0_testNumberDevice;STRING(9)
2236;P0.791.0.0_productKeyDevice;STRING(15)
2238;P0.801.0.0_missingSyncSignalLevel;UINT
2239;P0.802.0.0_missingSyncSignal;USINT
2241;P0.900.0.0_projectName;STRING(41)
2242;P0.901.0.0_projectDescription;STRING(161)
2243;P0.902.0.0_deviceName;STRING(128)
2244;P0.903.0.0_deviceDescription;STRING(161)
2246;P0.920.0.0_psActTemp;REAL
2247;P0.921.0.0_psStatus;DINT
2248;P0.922.0.0_psLowWarnLevel;UINT
2249;P0.923.0.0_psLowWarnOptions;USINT
2252;P0.926.0.0_psUpWarnLevel;UINT
2253;P0.927.0.0_psUpWarnOptions;USINT
2256;P0.930.0.0_airActTemp;REAL
2257;P0.931.0.0_airStatus;DINT
2258;P0.932.0.0_airLowWarnLevel;UINT
2259;P0.933.0.0_airLowWarnOptions;USINT
2262;P0.936.0.0_airUpWarnLevel;UINT
2263;P0.937.0.0_airUpWarnOptions;USINT
2266;P0.960.0.0_firmwareVersionString;STRING(30)
2267;P0.961.0.0_firmwareVersionMajor;UDINT
2268;P0.962.0.0_firmwareVersionMinor;UDINT
2269;P0.963.0.0_firmwareVersionPatch;UDINT
2270;P0.964.0.0_firmwareVersionBuild;UDINT
2271;P0.965.0.0_state;UDINT
2272;P0.966.0.0_numberOfFirmwarePackageSlots;UDINT
2281;P0.1003.0.0_tempFanOFF;REAL
2282;P0.1004.0.0_tempFanFullspeed;REAL
2289;P0.1100.0.0_Ain0Scaled;REAL
2307;P0.1250.0.0_SingleturnResolution;UDINT
2308;P0.1251.0.0_MultiturnResolution;UDINT
2309;P0.1252.0.0_NativeSingleturnPosition;UDINT
2310;P0.1253.0.0_NativeMultiturnPosition;UDINT
2312;P0.1255.0.0_IdentifictionNumber;UINT
2313;P0.1256.0.0_SerialNumber;UINT
2315;P0.1258.0.0_EncoderPosition;DINT
2316;P0.1259.0.0_CablePropagationTime;UDINT
2318;P0.1423.0.0_operatingHoursCounter;REAL
2332;P0.2201.0.0_datasetVersionMajorSafetyBoard;STRING(2)
2333;P0.2202.0.0_datasetVersionMinorSafetyBoard;UINT
2334;P0.2203.0.0_hardwareVersionMinorSafetyBoard;UINT
2335;P0.2204.0.0_datasetVersionMajorCommunicationBoard;STRING(2)
2336;P0.2205.0.0_datasetVersionMinorCommunicationBoard;UINT
2339;P0.2208.0.0_datasetVersionMajorControlBoard;STRING(2)
2340;P0.2209.0.0_datasetVersionMinorControlBoard;UINT
2341;P0.2212.0.0_hardwareVersionMinorControlBoard;UINT
2342;P0.2213.0.0_datasetVersionMajorDevice;STRING(2)
2343;P0.2214.0.0_datasetVersionMinorDevice;UINT
2408;P0.3219.0.0_ZeroAngleOffsetUserConfiguration;LINT
2409;P0.3219.1.0_ZeroAngleOffsetUserConfiguration;LINT
2410;P0.3220.0.0_ZeroAngleOffset;LINT
2411;P0.3220.1.0_ZeroAngleOffset;LINT
2412;P0.3221.0.0_ZeroOffsetEEPROM;LINT
2413;P0.3221.1.0_ZeroOffsetEEPROM;LINT
2414;P0.3223.0.0_ZeroOffsetUserConfiguration;LINT
2415;P0.3223.1.0_ZeroOffsetUserConfiguration;LINT
2416;P0.3224.0.0_ZeroOffset;LINT
2417;P0.3224.1.0_ZeroOffset;LINT
2418;P0.3225.0.0_IsReferencedEEPROM;BOOL
2419;P0.3225.1.0_IsReferencedEEPROM;BOOL
2420;P0.3226.0.0_IsReferencedUserConfiguration;BOOL
2421;P0.3226.1.0_IsReferencedUserConfiguration;BOOL
2422;P0.3227.0.0_IsReferenced;BOOL
2423;P0.3227.1.0_IsReferenced;BOOL
2424;P0.3228.0.0_IsZeroAngleOffsetDeterminedEEPROM;BOOL
2425;P0.3228.1.0_IsZeroAngleOffsetDeterminedEEPROM;BOOL
2426;P0.3229.0.0_IsZeroAngleOffsetDeterminedUserConfiguration;BOOL
2427;P0.3229.1.0_IsZeroAngleOffsetDeterminedUserConfiguration;BOOL
2428;P0.3230.0.0_IsZeroAngleOffsetDeterminedOffset;BOOL
2429;P0.3230.1.0_IsZeroAngleOffsetDeterminedOffset;BOOL
2434;P0.3234.0.0_ElectricalFrequencyFiltered;REAL
2435;P0.3234.1.0_ElectricalFrequencyFiltered;REAL
2438;P0.3236.0.0_compatibleDriveChangeIsPermitted;BOOL
2439;P0.3236.1.0_compatibleDriveChangeIsPermitted;BOOL
2440;P0.3237.0.0_encoderIsAlwaysReferenced;BOOL
2441;P0.3237.1.0_encoderIsAlwaysReferenced;BOOL
2442;P0.3238.0.0_expectedFestoPartNumber;UDINT
2443;P0.3238.1.0_expectedFestoPartNumber;UDINT
2444;P0.3239.0.0_expectedSerialNumber;STRING(13)
2445;P0.3239.1.0_expectedSerialNumber;STRING(13)
2446;P0.3240.0.0_expectedProductKey;STRING(15)
2447;P0.3240.1.0_expectedProductKey;STRING(15)
2466;P0.3250.0.0_autoDetect;BOOL
2467;P0.3250.1.0_autoDetect;BOOL
2468;P0.3251.0.0_gearboxFactorsIndex;USINT
2469;P0.3251.1.0_gearboxFactorsIndex;USINT
2477;P0.3400.0.0_state;UDINT
2478;P0.3401.0.0_triggerTypeActive;UDINT
2479;P0.3402.0.0_traceTypeActive;UDINT
2484;P0.4412.0.0_EncoderSupplyVoltage;REAL
2485;P0.4412.1.0_EncoderSupplyVoltage;REAL
2490;P0.4415.0.0_vectorLength;REAL
2491;P0.4415.1.0_vectorLength;REAL
2492;P0.4416.0.0_LowerLimitVectorLength;REAL
2493;P0.4416.1.0_LowerLimitVectorLength;REAL
2494;P0.4417.0.0_UpperLimitVectorLength;REAL
2495;P0.4417.1.0_UpperLimitVectorLength;REAL
2500;P0.4420.0.0_EncoderSupplyVoltageMonitoringWindow;REAL
2501;P0.4420.1.0_EncoderSupplyVoltageMonitoringWindow;REAL
2530;P0.4801.0.0_isBrakeChopperOn;BOOL
2531;P0.4802.0.0_isDcRelayClosed;BOOL
2533;P0.4811.0.0_dcVoltageWarnUser;REAL
2534;P0.4812.0.0_chopperThresholdUser;REAL
2535;P0.4813.0.0_dcVoltageLimitHighUser;REAL
2536;P0.4814.0.0_dcVoltageLimitLowUser;REAL
2537;P0.4815.0.0_dcLinkPrechargeState;UDINT
2538;P0.4816.0.0_enableFastDischarge;BOOL
2539;P0.4817.0.0_dynamicChopperThreshold;REAL
2544;P0.4881.0.0_fastDischargeFailedOptions;USINT
2545;P0.4882.0.0_fastDischargeFailedLevel;UINT
2546;P0.4890.0.0_dcLinkOvervoltgageWarnOptions;USINT
2549;P0.4995.0.0_isMainsSituationOk;BOOL
2550;P0.5111.0.0_phaseLossLevel;UINT
2551;P0.5112.0.0_phaseLossOptions;USINT
2552;P0.5113.0.0_dcVoltageSource;BOOL
2553;P0.5180.0.0_mainsUndervoltageOptions;USINT
2578;P0.5500.0.0_channelEnableSelection;BOOL
2579;P0.5501.0.0_axisIdSelection;UINT
2580;P0.5502.0.0_dataIdSelection;UDINT
2581;P0.5503.0.0_dataInstanceSelection;UINT
2582;P0.5504.0.0_arrayIndexSelection;UINT
2583;P0.5505.0.0_channelEnableActive;BOOL
2584;P0.5506.0.0_axisIdActive;UINT
2585;P0.5507.0.0_dataIdActive;UDINT
2586;P0.5508.0.0_dataInstanceActive;UINT
2587;P0.5509.0.0_arrayIndexActive;UINT
2588;P0.5513.0.0_preTriggerSamplesActive;DINT
2589;P0.5514.0.0_captureSamplesActive;UDINT
2590;P0.5515.0.0_resolutionMultipleActive;UDINT
2591;P0.5516.0.0_bufferSize;UDINT
2592;P0.5517.0.0_baseCaptureResolution;REAL
2593;P0.5518.0.0_traceEndTimeStamp;LINT
2605;P0.5709.0.0_parameterCouldNotBeWrittenOptions;USINT
2607;P0.5711.0.0_parameterSetTransferFailedOptions;USINT
2609;P0.5713.0.0_saveParameterSetFailedOptions;USINT
2611;P0.5715.0.0_removeParameterSetFailedOptions;USINT
2615;P0.5719.0.0_saveEepromParametersFailedOptions;USINT
2617;P0.5721.0.0_factorySettingsNotFoundOptions;USINT
2619;P0.5723.0.0_factorySettingsNotValidOptions;USINT
2621;P0.5725.0.0_factorySettingsNotCompatibleOptions;USINT
2623;P0.5727.0.0_factorySettingsParameterNotFoundOptions;USINT
2624;P0.5728.0.0_state;UDINT
2640;P0.5773.0.0_firmwareToken;STRING(100)
2645;P0.5812.0.0_syncMode;UDINT
2646;P0.6000.0.0_axisIdSelection;UINT
2647;P0.6001.0.0_dataIdSelection;UDINT
2648;P0.6002.0.0_dataInstanceSelection;UINT
2649;P0.6003.0.0_arrayIndexSelection;UINT
2650;P0.6004.0.0_triggerEventSelection;UDINT
2651;P0.6006.0.0_axisIdActive;UINT
2652;P0.6007.0.0_dataIdActive;UDINT
2653;P0.6008.0.0_dataInstanceActive;UINT
2654;P0.6009.0.0_arrayIndexActive;UINT
2655;P0.6010.0.0_triggerEventActive;UDINT
2656;P0.6013.0.0_thresholdActive;LINT
2659;P0.6412.0.0_lines;UDINT
2660;P0.6413.0.0_digitalSingleturnResolution;UDINT
2661;P0.6414.0.0_digitalMultiturnResolution;UDINT
2662;P0.6415.0.0_Multiturn;BOOL
2663;P0.6416.0.0_MemorySize;UDINT
2664;P0.6417.0.0_SerialNo;STRING(10)
2665;P0.6418.0.0_firmwareVersion;STRING(21)
2666;P0.6419.0.0_firmwareDate;STRING(9)
2667;P0.6420.0.0_encoderType;USINT
2668;P0.6421.0.0_NativePosition;UDINT
2674;P0.6427.0.0_ErrorByte;USINT
2679;P0.6432.0.0_EncoderSupplyVoltage;REAL
2680;P0.6438.0.0_vectorLength;REAL
2681;P0.6439.0.0_LowerLimitVectorLength;REAL
2682;P0.6440.0.0_UpperLimitVectorLength;REAL
2685;P0.6443.0.0_EncoderSupplyVoltageMonitoringWindow;REAL
2700;P0.6510.0.0_RExt;REAL
2701;P0.6511.0.0_PNomExt;REAL
2702;P0.6512.0.0_ELimExt;REAL
2703;P0.6513.0.0_monitorWarningLevel;UINT
2704;P0.6514.0.0_monitorWarningOptions;USINT
2705;P0.6515.0.0_monitorErrorLevel;UINT
2706;P0.6516.0.0_monitorErrorOptions;USINT
2707;P0.6517.0.0_errInvalidConfExtResistorLevel;UINT
2712;P0.6913.0.0_ErrorBits;UINT
2713;P0.6914.0.0_EncoderSupplyVoltageMonitoringWindow;REAL
2714;P0.6915.0.0_CrcErrorCounter;UDINT
2720;P0.6921.0.0_Errors;UINT
2721;P0.7110.0.0_rotorInertia;REAL
2722;P0.7110.1.0_rotorInertia;REAL
2723;P0.7113.0.0_isCounterClockwisePhaseSequence;BOOL
2724;P0.7113.1.0_isCounterClockwisePhaseSequence;BOOL
2725;P0.7116.0.0_iRated;REAL
2726;P0.7116.1.0_iRated;REAL
2727;P0.7119.0.0_iMax;REAL
2728;P0.7119.1.0_iMax;REAL
2729;P0.7122.0.0_vMax;REAL
2730;P0.7122.1.0_vMax;REAL
2731;P0.7125.0.0_vRated;REAL
2732;P0.7125.1.0_vRated;REAL
2733;P0.7128.0.0_windingInductance;REAL
2734;P0.7128.1.0_windingInductance;REAL
2735;P0.7131.0.0_windingResistance;REAL
2736;P0.7131.1.0_windingResistance;REAL
2737;P0.7134.0.0_km;REAL
2738;P0.7134.1.0_km;REAL
2739;P0.7143.0.0_i2tTime;REAL
2740;P0.7143.1.0_i2tTime;REAL
2741;P0.7146.0.0_maximumWindingTemperature;REAL
2742;P0.7146.1.0_maximumWindingTemperature;REAL
2743;P0.7149.0.0_voltageRated;REAL
2744;P0.7149.1.0_voltageRated;REAL
2745;P0.7150.0.0_hardwareVersionMajorMotor;STRING(2)
2746;P0.7150.1.0_hardwareVersionMajorMotor;STRING(2)
2747;P0.7151.0.0_hardwareVersionMinorMotor;UINT
2748;P0.7151.1.0_hardwareVersionMinorMotor;UINT
2749;P0.7152.0.0_sensorType;UDINT
2750;P0.7152.1.0_sensorType;UDINT
2751;P0.7155.0.0_temperatureSensorCharacteristic;REAL
2752;P0.7155.1.0_temperatureSensorCharacteristic;REAL
2753;P0.7158.0.0_isBrakeAvailable;BOOL
2754;P0.7158.1.0_isBrakeAvailable;BOOL
2755;P0.7161.0.0_brakeTurnOnDelay;REAL
2756;P0.7161.1.0_brakeTurnOnDelay;REAL
2757;P0.7164.0.0_brakeTurnOffDelay;REAL
2758;P0.7164.1.0_brakeTurnOffDelay;REAL
2759;P0.7181.0.0_continuousStandstillCurrentRated;REAL
2760;P0.7181.1.0_continuousStandstillCurrentRated;REAL
2761;P0.7183.0.0_motorDatabaseId;UDINT
2762;P0.7183.1.0_motorDatabaseId;UDINT
2763;P0.7186.0.0_motorDatasetVersionMajor;STRING(2)
2764;P0.7186.1.0_motorDatasetVersionMajor;STRING(2)
2765;P0.7187.0.0_motorDatasetVersionMinor;UINT
2766;P0.7187.1.0_motorDatasetVersionMinor;UINT
2767;P0.7428.0.0_qAxisInductance;REAL
2768;P0.7428.1.0_qAxisInductance;REAL
2769;P0.7429.0.0_dAxisInductance;REAL
2770;P0.7429.1.0_dAxisInductance;REAL
2771;P0.7430.0.0_motorType;USINT
2772;P0.7430.1.0_motorType;USINT
2773;P0.7534.0.0_actualInternalTime;LINT
2774;P0.7535.0.0_syncronizedMicrosoftTime;LINT
2784;P0.9303.0.0_whoami10;USINT
2785;P0.9304.0.0_whoami20;USINT
2786;P0.9305.0.0_whoami30;USINT
2791;P0.9310.0.0_airUpWarnTemp;REAL
2792;P0.9311.0.0_airUpErrTemp;REAL
2793;P0.9312.0.0_airLowWarnTemp;REAL
2794;P0.9313.0.0_airLowErrTemp;REAL
2795;P0.9314.0.0_psUpWarnTemp;REAL
2796;P0.9315.0.0_psUpErrTemp;REAL
2797;P0.9316.0.0_psLowWarnTemp;REAL
2798;P0.9317.0.0_psLowErrTemp;REAL
2799;P0.9318.0.0_airUpWarnTempActive;REAL
2800;P0.9319.0.0_airUpErrTempActive;REAL
2801;P0.9320.0.0_airLowWarnTempActive;REAL
2802;P0.9321.0.0_airLowErrTempActive;REAL
2803;P0.9322.0.0_psUpWarnTempActive;REAL
2804;P0.9323.0.0_psUpErrTempActive;REAL
2805;P0.9324.0.0_psLowWarnTempActive;REAL
2806;P0.9325.0.0_psLowErrTempActive;REAL
2807;P0.9550.0.0_packageVersionString;STRING(30)
2808;P0.9560.0.0_packageVersionMajor;UDINT
2809;P0.9570.0.0_packageVersionMinor;UDINT
2810;P0.9580.0.0_packageVersionPatch;UDINT
2811;P0.9590.0.0_packageVersionBuild;UDINT
2813;P0.9601.0.0_firmwareTransferWriteFailedOptions;USINT
2815;P0.9603.0.0_firmwareTransferReadFailedOptions;USINT
2817;P0.9605.0.0_firmwareNotValidOptions;USINT
2819;P0.9607.0.0_firmwareNotCompatibleOptions;USINT
2821;P0.9609.0.0_firmwareUpdateInvalidSlotOptions;USINT
2823;P0.9611.0.0_firmwareUpdateEmptySlotOptions;USINT
2825;P0.9613.0.0_firmwareUpdateWrongStateOptions;USINT
2827;P0.9615.0.0_firmwarePackageInUseOptions;USINT
2837;P0.10040.0.0_lines;UINT
2838;P0.10040.1.0_lines;UINT
2839;P0.10040.2.0_lines;UINT
2840;P0.10041.0.0_incrementCounter;UINT
2841;P0.10041.1.0_incrementCounter;UINT
2842;P0.10041.2.0_incrementCounter;UINT
2843;P0.10042.0.0_revolutionCounter;INT
2844;P0.10042.1.0_revolutionCounter;INT
2845;P0.10042.2.0_revolutionCounter;INT
2852;P0.10046.0.0_EncoderSupplyVoltage;REAL
2853;P0.10046.1.0_EncoderSupplyVoltage;REAL
2854;P0.10046.2.0_EncoderSupplyVoltage;REAL
2855;P0.10049.0.0_EncoderSupplyVoltageMonitoringWindow;REAL
2856;P0.10049.1.0_EncoderSupplyVoltageMonitoringWindow;REAL
2857;P0.10049.2.0_EncoderSupplyVoltageMonitoringWindow;REAL
2888;P0.10151.0.0_status_x1a;UDINT
2889;P0.10152.0.0_status_x1c;UDINT
2890;P0.10153.0.0_status_internal;UDINT
2891;P0.10300.0.0_ExceptionCount;UDINT
2892;P0.10301.0.0_ExceptionType;UDINT
2894;P0.10303.0.0_ErrorCode;UDINT
2896;P0.10305.0.0_RegR14ex;UDINT
2908;P0.10320.0.0_initPhaseReturnCodes;UDINT
2909;P0.10321.0.0_reInitPhaseReturnCode;UDINT
2910;P0.10322.0.0_reInitIsRequested;BOOL
2911;P0.10323.0.0_reInitInProgress;BOOL
2912;P0.10324.0.0_reInitIsRebootRequired;BOOL
2916;P0.10328.0.0_reInitJobIgnoredErrorOptions;USINT
2917;P0.10329.0.0_reInitRequestCounter;UDINT
2918;P0.10330.0.0_reInitCounter;UDINT
2928;P0.11301.0.0_config_X1A_13;UDINT
2929;P0.11302.0.0_config_X1A_14;UDINT
2930;P0.11303.0.0_config_X1A_15;UDINT
2931;P0.11304.0.0_config_X1A_16;UDINT
2932;P0.11305.0.0_config_X1A_18;UDINT
2933;P0.11306.0.0_config_X1C_06;UDINT
2934;P0.11307.0.0_config_X1C_07;UDINT
2937;P0.11600.0.0_EncoderPosition;LINT
2938;P0.11600.1.0_EncoderPosition;LINT
2939;P0.11601.0.0_UserPosition;LINT
2940;P0.11601.1.0_UserPosition;LINT
2941;P0.11602.0.0_UserVelocity;REAL
2942;P0.11602.1.0_UserVelocity;REAL
2943;P0.11603.0.0_UserVelocityFiltered;REAL
2944;P0.11603.1.0_UserVelocityFiltered;REAL
2945;P0.11604.0.0_ElectricalAngle;UDINT
2946;P0.11604.1.0_ElectricalAngle;UDINT
2947;P0.11605.0.0_ElectricalFrequency;REAL
2948;P0.11605.1.0_ElectricalFrequency;REAL
2953;P0.11608.0.0_ZeroAngleOffsetEEPROM;LINT
2954;P0.11608.1.0_ZeroAngleOffsetEEPROM;LINT
2967;P0.11615.0.0_MechanicalPosition;LINT
2968;P0.11615.1.0_MechanicalPosition;LINT
2969;P0.11616.0.0_SelectedEncoder;UDINT
2970;P0.11616.1.0_SelectedEncoder;UDINT
2971;P0.11617.0.0_ActiveEncoder;UDINT
2972;P0.11617.1.0_ActiveEncoder;UDINT
2973;P0.11618.0.0_TimeConstantVelocityFilter;REAL
2974;P0.11618.1.0_TimeConstantVelocityFilter;REAL
2989;P0.11626.0.0_useZeroAngleOffsetOldTypeLabel;BOOL
2990;P0.11626.1.0_useZeroAngleOffsetOldTypeLabel;BOOL
2991;P0.12000.0.0_dhcpenable;BOOL
2992;P0.12000.1.0_dhcpenable;BOOL
2993;P0.12001.0.0_ipaddress;UDINT
2994;P0.12001.1.0_ipaddress;UDINT
2995;P0.12002.0.0_subnetmask;UDINT
2996;P0.12002.1.0_subnetmask;UDINT
2997;P0.12003.0.0_gateway;UDINT
2998;P0.12003.1.0_gateway;UDINT
2999;P0.12004.0.0_ipaddressActive;UDINT
3000;P0.12004.1.0_ipaddressActive;UDINT
3001;P0.12005.0.0_subnetmaskActive;UDINT
3002;P0.12005.1.0_subnetmaskActive;UDINT
3003;P0.12006.0.0_gatewayActive;UDINT
3004;P0.12006.1.0_gatewayActive;UDINT
3005;P0.12007.0.0_macAddress;USINT
3006;P0.12007.1.0_macAddress;USINT
3007;P0.12008.0.0_keepAliveEnable;BOOL
3008;P0.12009.0.0_keepAliveIdle;UDINT
3009;P0.12010.0.0_keepAlivePeriod;UDINT
3010;P0.12011.0.0_keepAliveMaxprobe;UDINT
3011;P0.12012.0.0_activeConnections;UINT
3012;P0.12013.0.0_maxConnections;UINT
3013;P0.12014.0.0_isActive;BOOL
3014;P0.12014.1.0_isActive;BOOL
3015;P0.12015.0.0_connectionId;UDINT
3016;P0.12015.1.0_connectionId;UDINT
3017;P0.12016.0.0_sourceIp;UDINT
3018;P0.12016.1.0_sourceIp;UDINT
3019;P0.12017.0.0_sourcePort;UINT
3020;P0.12017.1.0_sourcePort;UINT
3021;P0.12510.0.0_InternalTemperature;UDINT
3022;P0.12511.0.0_ExternalTemperature;UDINT
3025;P0.12514.0.0_EncoderSupplyVoltage;REAL
3050;P0.28140.0.0_fMainsLimitLow;REAL
3051;P0.28150.0.0_fMainsLimitHigh;REAL
3052;P0.28151.0.0_vMainsLimitLowActive;REAL
3053;P0.28152.0.0_vMainsLimitHighActive;REAL
3057;P0.31235.0.0_syncTime;REAL
3061;P0.54543.0.0_reqState;DINT
3062;P0.54544.0.0_actState;DINT
3063;P0.56783.0.0_dcVoltageFiltered;REAL
3064;P0.56798.0.0_dcLinkState;DINT
3065;P0.56799.0.0_dcVoltageWarnActive;REAL
3066;P0.56800.0.0_dcVoltageLimitHighActive;REAL
