icp_number;name;remedy
35;Rapid discharge not possible;"- Check braking resistor connection 
- Resistance value too high
- DC voltage supply activated (P0.5113))"
36;No mains voltage;"- Check power supply
- Power failure detection correctly parameterized (P0.493)"
37;System voltage dip detected;"- Check Power supply
- When using a line choke, distortion of the mains voltage may occur. The sensitivity of the mains voltage monitoring can be adjusted (Px.281520). Increasing the value reduces the sensitivity."
38;Undervoltage in power supply;"- Check power supply
- Power failure detection correctly parameterized (P0.493)"
39;Overvoltage in power supply;"- Check power supply
- Power failure detection correctly parameterized (P0.494)"
40;Phase failure in power supply;- Check Power supply
41;Powersupply signal shape not as configured;"- DC voltage supply activated (P0.5113)
- Check power supply"
42;Encoder supply voltage monitoring thresholds;"- Check encoder wiring
- Parameterization Encoder voltage supply
- Service case"
43;Supply voltage correction, encoder;"- Check encoder wiring
- Parameterization Encoder voltage supply
- Service case"
44;Warning threshold: Insufficient temperature in device;"- Check ambient conditions
- Check parameterization warning threshold (P0.9312)"
45;Insufficient temperature in device;"- Check ambient conditions
- Check parameterization of switch-off threshold (P0.9313)"
46;Warning threshold: Device overtemperature;"- Check parameterization warning threshold (P0.9310)
- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
47;Device overtemperature;"- Check parameterization warning threshold (P0.9311)
- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
48;Warning threshold: Insufficient temperature in power section;"- Check ambient conditions
- Check parameterization warning threshold (P0.9316)"
49;Insufficient temperature in power section;"- Check ambient conditions
- Check parameterization of switch-off threshold (P0.9317)"
50;Warning threshold: Power section overtemperature;"- Check parameterization warning threshold (P0.9314)
- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
51;Power section overtemperature;"- Check parameterization warning threshold (P0.9315)
- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
52;Warning threshold: Insufficient temperature in motor;"- Check ambient conditions
- Check parameterization warning threshold (Px.945)"
53;Insufficient temperature in motor;"- Check ambient conditions
- Check parameterization of switch-off threshold (Px.947)"
54;Warning threshold: Motor overtemperature;"- Motor overloaded
- Sensor defective or incorrectly parameterized?
- Cable break?
- Parameterization current controller, check current limit values
- Check parameter adjustment of the sensor or the sensor characteristic curve
- Device defective"
55;Motor overtemperature;"- Motor overloaded
- Sensor defective or incorrectly parameterized?
- Cable break?
- Parameterization current controller, check current limit values
- Check parameter adjustment of the sensor or the sensor characteristic curve
- Device defective"
56;Configuration of homing run invalid;- Move to hardware limit switch (limit switch configured)
57;Homing: Timeout;"- Check timeout for homing (Px.842)
- At end stop: Check parameters for standstill window (Px.8415) and limit monitoring (Px8414)
- At stop: Check parameters for standstill window (Px.4627) and limit monitoring (Px4626)
- Increase dynamic values for homing"
58;Homing: Search path exceeded;"- Check arrangement slide to limit switch / end stop
- Parameterization search path (Px.8412, Px.8413) "
59;Positioning task invalid;- Check parameterization motion task or record
60;Motion task not known;- Check order, record number or step-on condition
61;Task ignored as approval missing;"- Set release CTRL-EN
- Controller enable via fieldbus missing "
62;Task ignored as safety function requested;- Check inputs of safety function for correct logic level
63;Calculation of brake move failed;- Check jerk (Px.12111) and deceleration (Px.12101) Stop ramp
64;Task ignored as intermediate circuit coupling not ready;"- Check mains voltage for present
- Check the DC voltage when the DC Power supply Is activated
- Check braking resistor for presence, if required"
65;Task ignored due to motion task error;"- Cancel current movement order with a stop
- Wait for MC for the current movement order "
66;Task ignored as encoder not ready;"- Check encoder cable
- Check voltage supply for the encoder"
67;Task ignored as referencing missing;- Reference drive
68;Task ignored as reinitialization is required;- Performing Reinitialization
69;Task ignored as restart is required;- Save configuration and restart the device
70;Invalid record table parameter;- Check record table parameters
71;Trajectory generator error;- Check parameterization order or block (complete? unrealistic values?)
72;Invalid position value of trajectory generator;- Change position specification to the valid range, see documentation
73;Invalid speed value of trajectory generator;- Change speed default to the valid range, see documentation
74;Invalid deceleration value of trajectory generator;- Change deceleration setting to the valid range, see documentation
75;Invalid acceleration value of trajectory generator;- Change acceleration default to the valid range, see documentation
76;Invalid jerk value of trajectory generator;- Change jerk setting to the valid range, see documentation
77;Trajectory generator error;- Adjust dynamic values for the movement order
78;Stop ramp: Timeout;- Check parameterization of standstill monitoring (Px.4610, Px.468)
79;Torque increase invalid;- Change parameters for the torque rise ramp to the valid range
80;Simultaneous negative/positive directional lock;- Check HW limit switch logic
81;Regulator operating mode invalid;- Check the parameterization of the controller (Px.4001, Px.4005, Px.40069
82;Notch filter frequency invalid;- Check parameterization notch filter frequency, notch filter frequency is greater than half the sampling frequency (Px.40.0.x)
83;Record table incorrect;- Check motion record number
84;Parameterisation switching frequency;"- Check parameter set, matches the device?
- Check parameterization PWM frequency (P0.670)"
85;Digital I/O configuration invalid;- Check configuration of the digital I/O for double function assignment
86;Signs and limits;- Check torque and current limitations, signs and limitations must match (symmetrical?)
87;Speed control limitation invalid;- Check configuration of control limitation (Px.850, Px.851)
88;Torque control limitation invalid;- Check configuration of control limitation (Px.852, Px.853)
89;Current control limitation invalid;- Check configuration of control limitation (Px.854, Px.855)
90;Maximum peak current control limitation invalid;- Check configuration of control limitation (Px.856)
91;Parameterisation of currents;- Check parameterization for rated current (Px.7117) and maximum current (Px.7120) (consistency)
92;Motor change detected, commutation angle invalid;- Run commutation angle finding and homing and save
93;Motor change detected, zero point offset invalid;- Perform homing and save parameter set
94;Commutation angle in encoder invalid;- Perform commutation angle determination
95;Encoder type plate invalid;- Service case
96;Encoder type plate (user-defined) invalid;- Reconfigure using the commissioning tool
97;Parameter set not found;- Check selection of parameter set
98;Parameter set invalid;- Overwrite (save) parameter set
99;Parameter set incompatible;"- Delete parameter set
- Overwrite (save) parameter set"
100;Parameter not found;"- Delete parameter set
- Overwrite (save) parameter set"
101;Parameter not writable;"- Delete parameter set
- Overwrite (save) parameter set"
102;Transmission error in parameter set;"- Repeat transmission
- Check connection"
103;Parameter set: store failed;"- Repeat saving
- Service case"
104;Parameter set: delete failed;"- Parameter set available?
- Repeat deletion
- Service case"
105;Factory parameter not found;- None (info only)
106;Factory parameter set invalid;- None (info only)
107;Factory parameter set not found;- None (info only)
108;Factory parameter set incompatible;- None (info only)
109;Negative software end position;"- Check movement trajectory (close to end stop)?
- Check values for software end positions (Px.4629, Px.4630)
- Check whether automatic braking is active (Px.4631)
- Parameters of stop ramp (Px.12101, Px.12111) lower than trajectory parameters, increase stop ramp parameters"
110;Positive software end position;"- Check movement trajectory (close to end position)?
- Check values for software end positions (Px.4630)
- Check whether automatic braking is active (Px.4631)
- Parameters of stop ramp (Px.12101, Px.12111) lower than trajectory parameters, increase stop ramp parameters"
111;Limitation negative direction;- Check movement order
112;Limitation positive direction;- Check movement order
113;Parameterisation of software end positions;- Check values for software end positions (consistency, negative Px.4629 < positive end position Px4630)
114;Negative hardware limit switch reached;- Check movement order
115;Positive hardware limit switch reached;- Check movement order
116;Limitation by negative hardware limit switch;- Check movement order
117;Limitation by positive hardware limit switch;- Check movement order
118;Error: both hardware limit switches occupied;"- Check parameterization
- Check Wiring
- Device restart"
119;Negative stroke limit reached;"- Check movement order
- Check parameterization stroke limit (Px.10368)"
120;Positive stroke limit reached;"- Check movement order
- Check parameterization stroke limit (Px.10369)"
121;Target position reached;- None (info only)
122;Target speed reached;- None (info only)
123;Target torque reached;- None (info only)
124;Standstill reached;- None (info only)
125;Standstill reached;- None (info only)
126;Position error: following error;"- Investigate causes of contouring errors (Trace)
- Reduce dynamic values
- Check error window (Px.463)"
127;velocity: following error;"- Investigate causes of contouring errors (Trace)
- Reduce dynamic values
- Check error window (Px.464)"
128;velocity too high;"- Check maximum velocity configuration (Px.4660)
- Reduce set velocity
- Check offset angle, perform commutation angle determination"
129;Out of target range;"- Check target range window and settling time (Px.4665 ... Px.4667)
- Monitoring makes sense for application? Possibly deactivate monitoring (Px.4669)"
130;Reverse feed monitoring;"- Check parameterization (Px.4663, Px.4664)
- Monitoring makes sense for application? Possibly deactivate monitoring (Px.4671)"
131;Residual distance too low;- None (info only)
132;Trajectory completed;- None (info only)
133;Position difference encoder 1 to encoder 2 too large;"- Calibrate feed constant encoder 1 to encoder 2, see documentation
- Check error threshold (Px.4642, Px.4643)
- Check encoder cable"
134;Voltage limiting active;"- Reduce velocity
- Reduce torque"
135;Limit for speed or current active;"- Reduce dynamic values for the motion task
- Check parameters for velocity limitation (Px.850, Px.851)
- Check parameters for current limitation (Px.854 ... Px.856)"
136;Zero-angle location failed;"-Check encoder (valid values / connected)
- For vertical axes with load: reduce load mass
- Enlarge monitoring window (Px.6693)
- Reduce step size (Px.664)
- Reduce dynamic values (Px.669, Px.6691, Px.6692)"
137;Commutation finding error;"- Motor shaft freewheeling?
- Increase current injection for commutation angle finding (Px.270)
- Axle jammed?
- Adjust dynamic values for commutation angle finding (Px.669, Px.6691, Px.6692)
- Check whether the direction of rotation of the encoder (P0.1171.0.0) and that of the motor (Px.1172) match."
138;Analogue setpoint specification limit exceeded;"- Check limit values (Px.998, Px.999)
- Check scaling (Px.995)"
139;Fieldbus not supported;- Installing a suitable FW-Package for the device
140;Failure of fieldbus synchronisation signal;"- Check wiring
- Check PLC configuration"
141;Invalid process data;- Check mapping of process data
142;EtherCAT process data invalid;- Check parameterization EtherCAT communication
143;Process data communication EtherCAT failed;- Check communication EtherCAT (connector, master) etc...
144;Application class not supported;- Only request the application class supported by the device (see documentation)
145;Telegram not supported;- request Only the telegrams supported by the device (see documentation)
146;Safety function requested;- None (info only)
147;Plausibility check of safety feedback signals;"- Restart device
- Service case"
148;STO: Discrepancy time exceeded;"- Timing Check input signals STO
- Configuration Check discrepancy time (Px.391)"
149;Plausibility check #STO-A/B;"- Restart device
- Service case"
150;Sequence monitoring #STO-A/B;- Timing and sequence Check input signals STO
151;Plausibility check #SBC-A/B;"- Check holding brake output for short circuit
- Restart device
- Service case"
152;SBC: Discrepancy time exceeded;"- Timing Check input signals SBC
- Configuration Check discrepancy time (Px.437)"
153;RTE module cannot be reached;"- Restart device
- Perform firmware update
- Service case"
154;Internalisation of RTE module failed;"- Restart device
- Perform firmware update
- Service case"
155;Error: fan faulty;- Fan check, blocked? Check connection
156;Common error power output stage;"- Restart device
- Service case"
157;FPGA does not start up;"- Restart device
- Perform firmware update
- Service case"
158;FPGA version invalid;"- Restart device
- Perform firmware update
- Service case"
159;Data directory memory full;"- Restart device
- Perform firmware update
- Service case"
160;Data directory indexed twice;"- Restart device
- Perform firmware update
- Service case"
161;Overflow diagnostic register;"- Acknowledge messages
- Remedy causes for currently pending messages"
162;Overflow diagnostic register buffer;"- Acknowledge messages
- Remedy causes for currently pending messages"
163;Error user unit conversion;- Perform reinitialization again
164;Process runtime exceeded;- Service case
165;Timeout process level 0;- Service case
166;Timeout process level 1;- Service case
167;Timeout process level 2;- Service case
168;Timeout process level 3;- Service case
169;Timeout process level 4;- Service case
170;Timeout process level 5;- Service case
171;Timeout process level 6;- Service case
172;Timeout process level 7;- Service case
173;File system faulty;- Service case
174;File: user file (backup) invalid;"- Restart device
- Service case"
175;Creation of user file (backup) not possible;"- Restart device
- Service case"
176;CRC error in user file;"- Restart device
- Contact support"
177;File: user file invalid;"- Restart device
- Service case"
178;New user file has been created;- None (info only)
179;Writing to user file not possible;"- Restart device
- Service case"
180;Unknown user file error;"- Restart device
- Service case"
181;Writing to firmware failed;- Repeat transfer of firmware package.
182;Reading from firmware failed;- Repeat transfer of firmware package.
183;Firmware invalid;- Repeat transfer of firmware package.
184;Firmware incompatible;"- Version Check hardware and firmware version
- Repeat transfer of firmware package"
185;Firmware save location invalid;"- Restart device
- Service case"
186;Firmware save location empty;"- Restart device
- Service case"
187;Firmware update not allowed;- Power stage switched off
188;Firmware package in use;- Repeat transfer of firmware package.
189;System error during firmware update;"- Repeat transfer of firmware package
- Service case"
190;Firmware update failed;"- Repeat transfer of firmware package
- Service case"
191;Calibration data incorrect: Safety;- Service case
192;Device data incorrect;"- Repeat transfer of firmware package
- Service case"
193;Device data incorrect: control section;- Service case
194;Device data incorrect: communication section;- Service case
195;Device data incorrect: Safety;- Service case
196;Calibration data incorrect: control section;- Service case
197;Calibration data incorrect: power section;- Service case
198;Device data incorrect: power section;- Service case
199;Synchronisation with FPGA failed;"- Restart device
- Perform firmware update
- Service case"
200;Current sensor calibration invalid;- Service case
201;Device not configured;"- Restart device
- Service case"
202;Device data: store failed;"- Restart device
- Service case"
203;Answer to a read request missing in LibRTE;"- Restart device
- Service case"
204;Initialization failed;"- Check other diagnosis notifications.
- Reset device to factory defaults."
205;Task ignored as reinitialization not possible;- Reset controller enable
206;Hardware does not correspond to expected revision status;- Service case
207;Hardware does not correspond to expected compatibility state;- Service case
208;Maximum mileage value reached;- None (info only)
209;Mileage danger threshold reached;- None (info only)
210;Mileage error threshold reached;- None (info only)
211;Maximum load change value reached;- None (info only)
212;Load change danger threshold reached;- None (info only)
213;Load change error threshold reached;- None (info only)
214;Message acknowledgment;- None (info only)
215;Diagnostics log file has invalid format;- None
216;Loss of messages from diagnostics log;- None
217;Autotuning aborted;"- Check whether further error messages are present and correct their cause
- Start Autotuning again"
218;Autotuning move insufficient;"- Check the position of the carriage. Too close to the end positions?
- Check move distance of move set (Px.8621)
- Check the acceleration and braking ramps, if necessary increase the maximum acceleration and deceleration for autotuning, so that the acceleration and braking phases are shorter (Px.8620 ... Px.8625)"
219;Autotuning controller parameters invalid;"- Restart autotuning with modified parameter noise intensity (Px.8616)
- Start autotuning with movement (Px.8619)
- Evaluate frequency response analysis"
220;Transmission of autotuning measured values failed;"- Check if connection exists
- Restart transmission
- Start Autotuning again"
221;CDSB display file faulty;"- Repeat transfer of firmware package
- Service case"
222;JSON display description for CDSB too large;- Service case
223;SPI communication too slow;- Service case
224;Login completed;- None (info only)
225;Logout completed;- None (info only)
226;Login error;- Check password
227;Encoder identification reports incorrect encoder type;- Check configuration
228;Common error EnDat 2.1;"- Check encoder type configuration
- Wiring error (short-circuit in encoder power supply)
- Encoder defective"
229;Common error EnDat 2.2;"- Check encoder type configuration
- Wiring error (short-circuit in encoder power supply)
- Encoder defective"
230;Vector length invalid;"- Check wiring (EMC)
- Input frequency too high, reduce velocity
- Encoder defective- Encoder defective"
231;Quadrant invalid;"- Check wiring (EMC)
- Encoder defective"
232;Hiperface communication timeout;"- Check wiring (EMC)
- Encoder defective"
233;Error in CRC protocol Hiperface;"- Check wiring (EMC)
- Encoder defective"
234;Common error Hiperface;"- Check wiring (EMC)
- Encoder defective"
235;Incremental encoder analysis invalid;"- Check encoder cable
- Restart the device"
236;Protocol error Nikon-A encoder;"- Check encoder cable
- Restart the device"
237;Timeout Nikon-A encoder;"- Check encoder cable
- Restart the device"
238;CRC error Nikon-A encoder;"- Check encoder cable
- Restart the device"
239;BISSC encoder analysis invalid;"- Check encoder cable
- Restart the device"
240;Vector length invalid;"- Check wiring (EMC)
- Input frequency too high, reduce velocity
- Encoder defective- Encoder defective"
241;Quadrant invalid;"- Check wiring (EMC)
- Encoder defective"
242;Encoder initialisation: Timeout;"- Check wiring (EMC)
- Encoder defective"
243;Invalid cycle time;- Check the cycle time is an integer multiple of 1 ms
244;Undervoltage RTE module;"- Check power supply
- Restart device"
245;Time condition interpolator violated;- Check controller for cyclical synchronization signals
246;Discrepancy between process data and sync interval;- Check parameterization EtherCAT communication
247;Discrepancy between process data and sync interval;- Check parameterization EtherCAT communication
248;Motor type is not supported;"- See documentation whether motor is actually supported
- Check motor configuration data (Px.71432)"
249;Error RTE module watchdog monitoring;"- Restart device
- Perform firmware update
- Service case"
250;Invalid CiA402 operating mode;- Check requested CiA402 operating mode
251;Deactivation threshold for energy recovery reached;"- Check power supply
- Check parameters for the switch-off threshold (P0.10185)"
252;Incorrect parameterization Reactive current braking;- Check parameterization reactive current braking (Px.102108, Px.102109)
253;Overvoltage in intermediate circuit;"- Check braking resistor dimensioning, value too high
- Reduce deceleration dynamics
- Check limit value for DC link switch-off (P0.4812)"
254;Undervoltage in intermediate circuit;
255;Intermediate circuit danger threshold reached;- None (info only)
256;Undervoltage in power supply;"- Check power supply
- Power failure detection correctly parameterized (P0.493)"
257;Overvoltage in power supply;"- Check power supply
- Power failure detection correctly parameterized (P0.494)"
258;I²t monitoring: motor warning limit;"- Reduce dynamics of movement orders
- Check holding brake
- Motor/mechanism blocked or stiff?"
259;I²t monitoring: motor error limit;"- Reduce dynamics of movement orders
- Check holding brake
- Motor/mechanism blocked or stiff?"
260;Condition Counter Limit reached;"- Replace valve and reset condition counter
- Increase condition counter limit"
261;Undervoltage in load supply (PL) 24 V DC;"- Check power supply (load) 
- Check for short circuit."
262;Load supply (PL) 24 V DC switched off;"- Check if emergency stop is active
- Check load supply"
264;IO-Link event;- See documentation of IO-Link Master or Device
265;Startup parameter rejected by device;"- Check firmware versions
- Check parameters"
266;Mismatch in startup parameter size;- Check firmware versions
267;Short circuit / Overload sensor supply;"- Check the connected sensors for proper function, especially current consumption.
- Check sensor cable."
268;Short circuit / Overload output signal;"- Check the connected load for proper function, especially current consumption.
- Check cable.
- The output must be reset after the fault is resolved."
269;General hardware failure;
270;General software failure;"- Check if you are using the latest firmware revision
- Contact the Festo Support"
271;Reinitialization failed;"- Check other diagnosis notifications.
- Reset device to factory defaults."
272;Resolution position factor group invalid;- Adjust parameterization position factor group (Px.7841 ... Px.7844)
273;Change of control mode not permitted;"- Wait until current movement order is completed
- Check movement order"
274;Movement order not permitted in open-loop operation;- Check movement order
275;Change to close-loop operation not permitted;- Perform commutation angle determination
276;Quadrant unstable;- Stop load and acknowledge error
277;Quadrant unstable;- Stop load and acknowledge error
278;Task ignored as directional lock is active;"- Observe further diagnostic messages and eliminate the cause of the directional lock
- Carry out movement into the valid work area."
279;Fixed stop not reached;- Check if workpiece Is in front of the target position
280;Monitoring window Exit fixed stop;- Check if workpiece was not lost
281;Process data failure;- Check connection between process data and Sync time in the controller
282;Encoder not ready for brake test;"- Check whether selection of encoder interface valid
- Check whether encoder errors are present"
283;Brake test failed;"- Check brake wear
- Check monitoring window stroke (Px.103117.x.0)"
284;Torque for brake test cannot be applied;"- Check brake wear
- Check Torque monitoring window (Px103118.x.0)"
285;Timeout LibRTE communication;"- Restart device
- Service case"
286;The DC relay for loading the DC link does not open;"- Restart device
- Service case"
287;The DC relay for charging the DC link does not close;"- Restart device
- Service case"
288;ProfiDrive test fault 1;- Cancel error test message via PNU
289;ProfiDrive test fault 2;- Cancel error test message via PNU
290;Parameter set version older;- Save parameter set again
291;Parameter set version newer;- Save parameter set again
292;AP master lost;"- Restart AP master.
- Check communication cable (AP)"
293;Coil not connected;"- Do not switch unused channels.
- Check / replace valve."
294;PLC Control Bit is not set;- Set PLC control bit (STW1.Bit10) 
295;AP Module Disconnected;"- Restart AP system.
- Check communication cable (AP)"
296;Invalid APDD;"- Reboot device.
- Check communication cable (AP).
- Check firmware version.
- On repeating failure contact Festo support."
297;Invalid startup APDD;"- Reboot device.
- Check communication cable (AP).
- Check firmware version.
- On repeating failure contact Festo support."
298;Error IO-Link driver IC;"- Restart device
- Service case"
299;clock cycle synchronous operation sign-of-life failure;"- Check PROFINET communication
- Check whether the life sign is sent correctly by the controller (e.g. create trace with STW2.12 ... STW2.15 and trigger signal ZSW1.3).
- Check the permissible failure rate of the telegrams (PNU 925).
- Check bus or controller for utilization."
300;Internal communication error LibRTE;"- Restart device
- Service case"
301;Increments between Z-pulses invalid;"- Check encoder cable
- Restart the device"
302;Device address invalid;"- Verify address configuration settings. Is the address assigned by software or set by hardware (dip switch).
- Check the assigned address of the device.
- Check for multiple address assignment of the same address.
- Check dip switch setting."
303;C/Q connection lost;- Check connection
304;AP module process data output watchdog timed out;"- Adjust cycle time and watchdog parameter.
- Restart AP master.
- Check wiring."
305;AP module process data input watchdog timed out;"- Adjust cycle time and watchdog parameter.
- Restart AP system.
- Check wiring."
306;AP master process data output watchdog timed out;"- Adjust cycle time and watchdog parameter.
- Restart AP system.
- Check wiring."
307;AP master process data input watchdog timed out;"- Adjust cycle time and watchdog parameter.
- Restart AP system.
- Check wiring."
308;AP master toggle bit error;"- Adjust cycle time and toggle timeout parameter.
- Restart AP system.
- Check wiring."
309;Wirefracture detected;- Check wiring
310;Higher threshold exceeded;"- Check parameter
- Check sensor"
311;Lower threshold underflow;"- Check parameter
- Check sensor"
312;Value out of range;"- Check parameter Signalrange
- Check sensor"
313;Selection for Data Trigger Signal Function invalid;- Check input parameters for data trigger (Px.1174201 … 1174207)
314;Multiple AP Master detected;"- Check AP configuration. Only one AP Bus Interface is allowed
- Restart AP System"
315;System Startup failed (emergency mode);"- Check for latest firmware versions
- Restart AP System"
316;Topology detection failed;"- Check for latest firmware versions
- Restart AP System"
317;Firmware Update mode;"- Execute firmware updates
- Restart AP System"
318;ProfiDrive encoder command not supported;- Remove PROFIdrive command from control sequence
319;Overvoltage in load supply (PL) 24 V DC;- Check power supply.
320;Systemstart;- None
321;General malfunction IO-Link Device;- Check IO-Link Device
322;Temperature fault – Overload;- Device specific
323;Device temperature over-run;- Clear source of heat
324;Device temperature under-run;- Insulate Device
325;Device hardware fault;- Repair or replace IO-Link Device
326;Component malfunction;- Repair or replace IO-Link Device
327;Non volatile memory loss;- Check batteries
328;Batteries low;- Replace batteries
329;General power supply fault;- Check power supply
330;Fuse blown/open;"- Replace fuse
- Eliminate cause of blown fuse"
332;Invalid cycle time;- Adapt cycle time to permissable value
333;Revision fault – incompatible protocol version;- Device not compatible
334;ISDU batch failed – parameter inconsistency?;- Check parameters
335;Parameter error;- Check data sheet and parameter values
336;Parameter missing;- Check data sheet and parameter values
338;Wire break of subordinate device 1;- Check wiring
339;Wire break of subordinate device 2;- Check wiring
340;Wire break of subordinate device 3;- Check wiring
341;Wire break of subordinate device 4;- Check wiring
342;Wire break of subordinate device 5;- Check wiring
343;Wire break of subordinate device 6;- Check wiring
344;Wire break of subordinate device 7;- Check wiring
345;Wire break of subordinate device 8;- Check wiring
346;Wire break of subordinate device 9;- Check wiring
347;Wire break of subordinate device 10;- Check wiring
348;Wire break of subordinate device 11;- Check wiring
349;Wire break of subordinate device 12;- Check wiring
350;Wire break of subordinate device 13;- Check wiring
351;Wire break of subordinate device 14;- Check wiring
352;Wire break of subordinate device 15;- Check wiring
353;Short circuit – Check installation;
354;Ground fault – Check installation;
355;Technology specific application fault;- Reset Device
356;Simulation active;- Check operational mode
357;Process variable range over-run – Process Data uncertain;"- Check input signal 
- Check parameters and configuration"
358;Measurement range over-run;"- Check application
- Check input signal 
- Check parameters and configuration"
359;Process variable range under-run – Process Data uncertain;"- Check input signal 
- Check parameters and configuration"
360;Maintenance required – Cleaning;- Clean device
361;Maintenance required – Refill;- Refill
362;Maintenance required – Exchange wear and tear parts;- Exchange wear and tear parts
363;Incorrect VendorID – Inspection Level mismatch;- Check if correct IO-Link device is connected
364;Velocity of trajectory generator is zero;"- Check profile speed (record table / direct operation)
- Check speed override (Px.1309, Px.11280611)
- Check application limitation (Px.1304, Px.1310)"
365;Invalid ProfiDrive encoder command;- Control word Check PROFIdrive encoder
366;Unsupported ProfiDrive encoder command;- Control word Check PROFIdrive encoder
367;Parking request while operational;- Withdraw controller enable before parking
368;Reference search aborted;- Control word Check PROFIdrive encoder
369;Retrieval of reference value aborted;- Control word Check PROFIdrive encoder
370;Measurement on the fly aborted;- Control word Check PROFIdrive encoder
371;Retrieval of measured value aborted;- Control word Check PROFIdrive encoder
372;Absolute value transmission aborted;"- Check PROFIdrive encoder control word
- Use of absolute encoder"
373;Failure of communication processor synchronisation;"- Check wiring
- Check PLC configuration"
375;Backup inconsistency – upload fault;
376;Parameter inconsistency – download fault;
377;Short circuit / Overload load supply;"- Check the connected load for proper function, especially current consumption.
- Check cable"
378;Short circuit at I/Q;- Check wiring
379;Short circuit at C/Q (if digital output);- Check wiring
380;Overcurrent at I/Q;- Check load
381;Overcurrent at C/Q (if digital output);- Check load
382;Invalid configuration Extended process data;- Check mapping of the extended process data
383;Process data mismatch;- Change module variant to a bigger process data length
384;Short circuit at C/Q;- Check wiring
385;PHY overtemperature;- Clear source of heat
386;Device Event overflow;- Device specific
387;Backup inconsistency – memory out of range (2048 octets);- Device specific
388;Backup inconsistency – DataStorageIndex not available;- Device specific
389;Backup inconsistency – Data Storage unspecific error;- Device specific
390;Calibration: waiting for voltage;- Apply correct voltage value
391;Process data communication failed;- Check communication (connector, master) etc...
392;Modulidentification check skipped;- Download slot configuration
393;Modulidentification check failed;- Download updated slot configuration
394;configuration of process data not supported;- New configuration of the EtherNet/IP interface (see documentation)
395;Telegram not supported;- Request Only the telegrams supported by the device (see documentation)
396;Gear in failed;- Check speed, acceleration and jerk for synchronisation (Px.85604, Px.85605, Px.85606)
397;Gear out failed;- Check speed, acceleration and jerk for synchronisation (Px.85614, Px.85615, Px.85616)
399;Unsupported Version of full diagnostic image;- Check firmware versions of master and devices and update to compatible versions.
400;Unsupported Version of diagnosis;- Check firmware versions of master and devices and update to compatible versions.
