pnu;name;data_type;parameter_id
2083;status;UINT;0.301.1
2084;reaction;UINT;0.302.0
2085;reaction;UINT;0.302.1
2086;maxQueueCount;UDINT;0.303.0
2087;actQueueCount;UDINT;0.304.0
2113;traceSelection;UDINT;0.340.0
2114;triggerSelection;UDINT;0.341.0
2118;Position;LINT;0.440.0
2119;Position;LINT;0.440.1
2128;lines;UDINT;0.445.0
2129;lines;UDINT;0.445.1
2148;dcVoltage;REAL;0.480.0
2153;dcLinkUndervoltageLevel;UINT;0.487.0
2154;dcLinkUndervoltageOptions;USINT;0.488.0
2155;dcLinkOvervoltageWarnLevel;UINT;0.489.0
2156;vMainsPeak;REAL;0.490.0
2157;vMainsRMS;REAL;0.491.0
2158;vMainsRectified;REAL;0.492.0
2159;vMainsLimitLowUser;REAL;0.493.0
2160;vMainsLimitHighUser;REAL;0.494.0
2161;fMains;REAL;0.495.0
2162;mainsFaultLevel;UINT;0.501.0
2163;mainsFaultOptions;USINT;0.502.0
2164;mainsDropLevel;UINT;0.503.0
2165;mainsDropOptions;USINT;0.504.0
2166;mainsOvervoltageLevel;UINT;0.517.0
2168;mainsUndervoltageLevel;UINT;0.519.0
2169;U24V0;REAL;0.520.0
2173;state;UDINT;0.556.0
2174;preTriggerSamplesSelection;DINT;0.557.0
2175;captureSamplesSelection;UDINT;0.558.0
2176;resolutionMultipleSelection;UDINT;0.559.0
2180;numberOfParameterSetSlots;UDINT;0.571.0
2186;InternalTemperature;UDINT;0.610.0
2187;ExternalTemperature;UDINT;0.611.0
2190;EncoderSupplyVoltage;REAL;0.615.0
2191;Position;LINT;0.640.0
2201;EInitGain;REAL;0.650.0
2202;ELim;REAL;0.651.0
2203;EMaxRel;REAL;0.652.0
2204;EAct;REAL;0.653.0
2205;EActRel;REAL;0.654.0
2206;ELimWarnGain;REAL;0.655.0
2207;PAct;REAL;0.656.0
2209;RSelectorSet;BOOL;0.658.0
2210;RSelectorAct;BOOL;0.659.0
2211;fSwitch;UDINT;0.670.0
2215;productKeyMotor;STRING(15);0.710.0
2216;productKeyMotor;STRING(15);0.710.1
2217;nocCodeMotor;STRING(32);0.711.0
2218;nocCodeMotor;STRING(32);0.711.1
2219;festoPartNumberMotor;UDINT;0.712.0
2220;festoPartNumberMotor;UDINT;0.712.1
2221;serialNumberMotor;STRING(20);0.713.0
2222;serialNumberMotor;STRING(20);0.713.1
2223;numberPolePairs;UDINT;0.717.0
2224;numberPolePairs;UDINT;0.717.1
2225;hardwareVersionMinorDevice;UINT;0.739.0
2234;hardwareCompatibilityIndexDevice;UINT;0.748.0
2235;testNumberDevice;STRING(9);0.790.0
2236;productKeyDevice;STRING(15);0.791.0
2238;missingSyncSignalLevel;UINT;0.801.0
2239;missingSyncSignal;USINT;0.802.0
2241;projectName;STRING(41);0.900.0
2242;projectDescription;STRING(161);0.901.0
2243;deviceName;STRING(128);0.902.0
2244;deviceDescription;STRING(161);0.903.0
2246;psActTemp;REAL;0.920.0
2247;psStatus;DINT;0.921.0
2248;psLowWarnLevel;UINT;0.922.0
2249;psLowWarnOptions;USINT;0.923.0
2252;psUpWarnLevel;UINT;0.926.0
2253;psUpWarnOptions;USINT;0.927.0
2256;airActTemp;REAL;0.930.0
2257;airStatus;DINT;0.931.0
2258;airLowWarnLevel;UINT;0.932.0
2259;airLowWarnOptions;USINT;0.933.0
2262;airUpWarnLevel;UINT;0.936.0
2263;airUpWarnOptions;USINT;0.937.0
2266;firmwareVersionString;STRING(30);0.960.0
2267;firmwareVersionMajor;UDINT;0.961.0
2268;firmwareVersionMinor;UDINT;0.962.0
2269;firmwareVersionPatch;UDINT;0.963.0
2270;firmwareVersionBuild;UDINT;0.964.0
2271;state;UDINT;0.965.0
2272;numberOfFirmwarePackageSlots;UDINT;0.966.0
2281;tempFanOFF;REAL;0.1003.0
2282;tempFanFullspeed;REAL;0.1004.0
2289;Ain0Scaled;REAL;0.1100.0
2307;SingleturnResolution;UDINT;0.1250.0
2308;MultiturnResolution;UDINT;0.1251.0
2309;NativeSingleturnPosition;UDINT;0.1252.0
2310;NativeMultiturnPosition;UDINT;0.1253.0
2312;IdentifictionNumber;UINT;0.1255.0
2313;SerialNumber;UINT;0.1256.0
2315;EncoderPosition;DINT;0.1258.0
2316;CablePropagationTime;UDINT;0.1259.0
2318;operatingHoursCounter;REAL;0.1423.0
2332;datasetVersionMajorSafetyBoard;STRING(2);0.2201.0
2333;datasetVersionMinorSafetyBoard;UINT;0.2202.0
2334;hardwareVersionMinorSafetyBoard;UINT;0.2203.0
2335;datasetVersionMajorCommunicationBoard;STRING(2);0.2204.0
2336;datasetVersionMinorCommunicationBoard;UINT;0.2205.0
2339;datasetVersionMajorControlBoard;STRING(2);0.2208.0
2340;datasetVersionMinorControlBoard;UINT;0.2209.0
2341;hardwareVersionMinorControlBoard;UINT;0.2212.0
2342;datasetVersionMajorDevice;STRING(2);0.2213.0
2343;datasetVersionMinorDevice;UINT;0.2214.0
2408;ZeroAngleOffsetUserConfiguration;LINT;0.3219.0
2409;ZeroAngleOffsetUserConfiguration;LINT;0.3219.1
2410;ZeroAngleOffset;LINT;0.3220.0
2411;ZeroAngleOffset;LINT;0.3220.1
2412;ZeroOffsetEEPROM;LINT;0.3221.0
2413;ZeroOffsetEEPROM;LINT;0.3221.1
2414;ZeroOffsetUserConfiguration;LINT;0.3223.0
2415;ZeroOffsetUserConfiguration;LINT;0.3223.1
2416;ZeroOffset;LINT;0.3224.0
2417;ZeroOffset;LINT;0.3224.1
2418;IsReferencedEEPROM;BOOL;0.3225.0
2419;IsReferencedEEPROM;BOOL;0.3225.1
2420;IsReferencedUserConfiguration;BOOL;0.3226.0
2421;IsReferencedUserConfiguration;BOOL;0.3226.1
2422;IsReferenced;BOOL;0.3227.0
2423;IsReferenced;BOOL;0.3227.1
2424;IsZeroAngleOffsetDeterminedEEPROM;BOOL;0.3228.0
2425;IsZeroAngleOffsetDeterminedEEPROM;BOOL;0.3228.1
2426;IsZeroAngleOffsetDeterminedUserConfiguration;BOOL;0.3229.0
2427;IsZeroAngleOffsetDeterminedUserConfiguration;BOOL;0.3229.1
2428;IsZeroAngleOffsetDeterminedOffset;BOOL;0.3230.0
2429;IsZeroAngleOffsetDeterminedOffset;BOOL;0.3230.1
2434;ElectricalFrequencyFiltered;REAL;0.3234.0
2435;ElectricalFrequencyFiltered;REAL;0.3234.1
2438;compatibleDriveChangeIsPermitted;BOOL;0.3236.0
2439;compatibleDriveChangeIsPermitted;BOOL;0.3236.1
2440;encoderIsAlwaysReferenced;BOOL;0.3237.0
2441;encoderIsAlwaysReferenced;BOOL;0.3237.1
2442;expectedFestoPartNumber;UDINT;0.3238.0
2443;expectedFestoPartNumber;UDINT;0.3238.1
2444;expectedSerialNumber;STRING(13);0.3239.0
2445;expectedSerialNumber;STRING(13);0.3239.1
2446;expectedProductKey;STRING(15);0.3240.0
2447;expectedProductKey;STRING(15);0.3240.1
2466;autoDetect;BOOL;0.3250.0
2467;autoDetect;BOOL;0.3250.1
2468;gearboxFactorsIndex;USINT;0.3251.0
2469;gearboxFactorsIndex;USINT;0.3251.1
2477;state;UDINT;0.3400.0
2478;triggerTypeActive;UDINT;0.3401.0
2479;traceTypeActive;UDINT;0.3402.0
2484;EncoderSupplyVoltage;REAL;0.4412.0
2485;EncoderSupplyVoltage;REAL;0.4412.1
2490;vectorLength;REAL;0.4415.0
2491;vectorLength;REAL;0.4415.1
2492;LowerLimitVectorLength;REAL;0.4416.0
2493;LowerLimitVectorLength;REAL;0.4416.1
2494;UpperLimitVectorLength;REAL;0.4417.0
2495;UpperLimitVectorLength;REAL;0.4417.1
2500;EncoderSupplyVoltageMonitoringWindow;REAL;0.4420.0
2501;EncoderSupplyVoltageMonitoringWindow;REAL;0.4420.1
2530;isBrakeChopperOn;BOOL;0.4801.0
2531;isDcRelayClosed;BOOL;0.4802.0
2533;dcVoltageWarnUser;REAL;0.4811.0
2534;chopperThresholdUser;REAL;0.4812.0
2535;dcVoltageLimitHighUser;REAL;0.4813.0
2536;dcVoltageLimitLowUser;REAL;0.4814.0
2537;dcLinkPrechargeState;UDINT;0.4815.0
2538;enableFastDischarge;BOOL;0.4816.0
2539;dynamicChopperThreshold;REAL;0.4817.0
2544;fastDischargeFailedOptions;USINT;0.4881.0
2545;fastDischargeFailedLevel;UINT;0.4882.0
2546;dcLinkOvervoltgageWarnOptions;USINT;0.4890.0
2549;isMainsSituationOk;BOOL;0.4995.0
2550;phaseLossLevel;UINT;0.5111.0
2551;phaseLossOptions;USINT;0.5112.0
2552;dcVoltageSource;BOOL;0.5113.0
2553;mainsUndervoltageOptions;USINT;0.5180.0
2578;channelEnableSelection;BOOL;0.5500.0
2579;axisIdSelection;UINT;0.5501.0
2580;dataIdSelection;UDINT;0.5502.0
2581;dataInstanceSelection;UINT;0.5503.0
2582;arrayIndexSelection;UINT;0.5504.0
2583;channelEnableActive;BOOL;0.5505.0
2584;axisIdActive;UINT;0.5506.0
2585;dataIdActive;UDINT;0.5507.0
2586;dataInstanceActive;UINT;0.5508.0
2587;arrayIndexActive;UINT;0.5509.0
2588;preTriggerSamplesActive;DINT;0.5513.0
2589;captureSamplesActive;UDINT;0.5514.0
2590;resolutionMultipleActive;UDINT;0.5515.0
2591;bufferSize;UDINT;0.5516.0
2592;baseCaptureResolution;REAL;0.5517.0
2593;traceEndTimeStamp;LINT;0.5518.0
2605;parameterCouldNotBeWrittenOptions;USINT;0.5709.0
2607;parameterSetTransferFailedOptions;USINT;0.5711.0
2609;saveParameterSetFailedOptions;USINT;0.5713.0
2611;removeParameterSetFailedOptions;USINT;0.5715.0
2615;saveEepromParametersFailedOptions;USINT;0.5719.0
2617;factorySettingsNotFoundOptions;USINT;0.5721.0
2619;factorySettingsNotValidOptions;USINT;0.5723.0
2621;factorySettingsNotCompatibleOptions;USINT;0.5725.0
2623;factorySettingsParameterNotFoundOptions;USINT;0.5727.0
2624;state;UDINT;0.5728.0
2625;loadedParametersetRef;DINT;0.5729.0
2626;loadedParametersetActive;DINT;0.5730.0
2640;firmwareToken;STRING(100);0.5773.0
2645;syncMode;UDINT;0.5812.0
2646;axisIdSelection;UINT;0.6000.0
2647;dataIdSelection;UDINT;0.6001.0
2648;dataInstanceSelection;UINT;0.6002.0
2649;arrayIndexSelection;UINT;0.6003.0
2650;triggerEventSelection;UDINT;0.6004.0
2651;axisIdActive;UINT;0.6006.0
2652;dataIdActive;UDINT;0.6007.0
2653;dataInstanceActive;UINT;0.6008.0
2654;arrayIndexActive;UINT;0.6009.0
2655;triggerEventActive;UDINT;0.6010.0
2656;thresholdActive;LINT;0.6013.0
2659;lines;UDINT;0.6412.0
2660;digitalSingleturnResolution;UDINT;0.6413.0
2661;digitalMultiturnResolution;UDINT;0.6414.0
2662;Multiturn;BOOL;0.6415.0
2663;MemorySize;UDINT;0.6416.0
2664;SerialNo;STRING(10);0.6417.0
2665;firmwareVersion;STRING(21);0.6418.0
2666;firmwareDate;STRING(9);0.6419.0
2667;encoderType;USINT;0.6420.0
2668;NativePosition;UDINT;0.6421.0
2674;ErrorByte;USINT;0.6427.0
2679;EncoderSupplyVoltage;REAL;0.6432.0
2680;vectorLength;REAL;0.6438.0
2681;LowerLimitVectorLength;REAL;0.6439.0
2682;UpperLimitVectorLength;REAL;0.6440.0
2685;EncoderSupplyVoltageMonitoringWindow;REAL;0.6443.0
2700;RExt;REAL;0.6510.0
2701;PNomExt;REAL;0.6511.0
2702;ELimExt;REAL;0.6512.0
2703;monitorWarningLevel;UINT;0.6513.0
2704;monitorWarningOptions;USINT;0.6514.0
2705;monitorErrorLevel;UINT;0.6515.0
2706;monitorErrorOptions;USINT;0.6516.0
2707;errInvalidConfExtResistorLevel;UINT;0.6517.0
2712;ErrorBits;UINT;0.6913.0
2713;EncoderSupplyVoltageMonitoringWindow;REAL;0.6914.0
2714;CrcErrorCounter;UDINT;0.6915.0
2720;Errors;UINT;0.6921.0
2721;rotorInertia;REAL;0.7110.0
2722;rotorInertia;REAL;0.7110.1
2723;isCounterClockwisePhaseSequence;BOOL;0.7113.0
2724;isCounterClockwisePhaseSequence;BOOL;0.7113.1
2725;iRated;REAL;0.7116.0
2726;iRated;REAL;0.7116.1
2727;iMax;REAL;0.7119.0
2728;iMax;REAL;0.7119.1
2729;vMax;REAL;0.7122.0
2730;vMax;REAL;0.7122.1
2731;vRated;REAL;0.7125.0
2732;vRated;REAL;0.7125.1
2733;windingInductance;REAL;0.7128.0
2734;windingInductance;REAL;0.7128.1
2735;windingResistance;REAL;0.7131.0
2736;windingResistance;REAL;0.7131.1
2737;km;REAL;0.7134.0
2738;km;REAL;0.7134.1
2739;i2tTime;REAL;0.7143.0
2740;i2tTime;REAL;0.7143.1
2741;maximumWindingTemperature;REAL;0.7146.0
2742;maximumWindingTemperature;REAL;0.7146.1
2743;voltageRated;REAL;0.7149.0
2744;voltageRated;REAL;0.7149.1
2745;hardwareVersionMajorMotor;STRING(2);0.7150.0
2746;hardwareVersionMajorMotor;STRING(2);0.7150.1
2747;hardwareVersionMinorMotor;UINT;0.7151.0
2748;hardwareVersionMinorMotor;UINT;0.7151.1
2749;sensorType;UDINT;0.7152.0
2750;sensorType;UDINT;0.7152.1
2751;temperatureSensorCharacteristic;REAL;0.7155.0
2752;temperatureSensorCharacteristic;REAL;0.7155.1
2753;isBrakeAvailable;BOOL;0.7158.0
2754;isBrakeAvailable;BOOL;0.7158.1
2755;brakeTurnOnDelay;REAL;0.7161.0
2756;brakeTurnOnDelay;REAL;0.7161.1
2757;brakeTurnOffDelay;REAL;0.7164.0
2758;brakeTurnOffDelay;REAL;0.7164.1
2759;continuousStandstillCurrentRated;REAL;0.7181.0
2760;continuousStandstillCurrentRated;REAL;0.7181.1
2761;motorDatabaseId;UDINT;0.7183.0
2762;motorDatabaseId;UDINT;0.7183.1
2763;motorDatasetVersionMajor;STRING(2);0.7186.0
2764;motorDatasetVersionMajor;STRING(2);0.7186.1
2765;motorDatasetVersionMinor;UINT;0.7187.0
2766;motorDatasetVersionMinor;UINT;0.7187.1
2767;qAxisInductance;REAL;0.7428.0
2768;qAxisInductance;REAL;0.7428.1
2769;dAxisInductance;REAL;0.7429.0
2770;dAxisInductance;REAL;0.7429.1
2771;motorType;USINT;0.7430.0
2772;motorType;USINT;0.7430.1
2773;actualInternalTime;LINT;0.7534.0
2774;syncronizedMicrosoftTime;LINT;0.7535.0
2784;whoami10;USINT;0.9303.0
2785;whoami20;USINT;0.9304.0
2786;whoami30;USINT;0.9305.0
2787;whoami40;USINT;0.9306.0
2788;whoami50;USINT;0.9307.0
2791;airUpWarnTemp;REAL;0.9310.0
2792;airUpErrTemp;REAL;0.9311.0
2793;airLowWarnTemp;REAL;0.9312.0
2794;airLowErrTemp;REAL;0.9313.0
2795;psUpWarnTemp;REAL;0.9314.0
2796;psUpErrTemp;REAL;0.9315.0
2797;psLowWarnTemp;REAL;0.9316.0
2798;psLowErrTemp;REAL;0.9317.0
2799;airUpWarnTempActive;REAL;0.9318.0
2800;airUpErrTempActive;REAL;0.9319.0
2801;airLowWarnTempActive;REAL;0.9320.0
2802;airLowErrTempActive;REAL;0.9321.0
2803;psUpWarnTempActive;REAL;0.9322.0
2804;psUpErrTempActive;REAL;0.9323.0
2805;psLowWarnTempActive;REAL;0.9324.0
2806;psLowErrTempActive;REAL;0.9325.0
2807;packageVersionString;STRING(30);0.9550.0
2808;packageVersionMajor;UDINT;0.9560.0
2809;packageVersionMinor;UDINT;0.9570.0
2810;packageVersionPatch;UDINT;0.9580.0
2811;packageVersionBuild;UDINT;0.9590.0
2813;firmwareTransferWriteFailedOptions;USINT;0.9601.0
2815;firmwareTransferReadFailedOptions;USINT;0.9603.0
2817;firmwareNotValidOptions;USINT;0.9605.0
2819;firmwareNotCompatibleOptions;USINT;0.9607.0
2821;firmwareUpdateInvalidSlotOptions;USINT;0.9609.0
2823;firmwareUpdateEmptySlotOptions;USINT;0.9611.0
2825;firmwareUpdateWrongStateOptions;USINT;0.9613.0
2827;firmwarePackageInUseOptions;USINT;0.9615.0
2837;lines;UINT;0.10040.0
2838;lines;UINT;0.10040.1
2839;lines;UINT;0.10040.2
2840;incrementCounter;UINT;0.10041.0
2841;incrementCounter;UINT;0.10041.1
2842;incrementCounter;UINT;0.10041.2
2843;revolutionCounter;INT;0.10042.0
2844;revolutionCounter;INT;0.10042.1
2845;revolutionCounter;INT;0.10042.2
2852;EncoderSupplyVoltage;REAL;0.10046.0
2853;EncoderSupplyVoltage;REAL;0.10046.1
2854;EncoderSupplyVoltage;REAL;0.10046.2
2855;EncoderSupplyVoltageMonitoringWindow;REAL;0.10049.0
2856;EncoderSupplyVoltageMonitoringWindow;REAL;0.10049.1
2857;EncoderSupplyVoltageMonitoringWindow;REAL;0.10049.2
2867;minTresholdForDetection;REAL;0.10053.0
2870;diffTresholdForDetection;REAL;0.10054.0
2888;status_x1a;UDINT;0.10151.0
2889;status_x1c;UDINT;0.10152.0
2890;status_internal;UDINT;0.10153.0
2891;ExceptionCount;UDINT;0.10300.0
2892;ExceptionType;UDINT;0.10301.0
2894;ErrorCode;UDINT;0.10303.0
2896;RegR14ex;UDINT;0.10305.0
2908;initPhaseReturnCodes;UDINT;0.10320.0
2909;reInitPhaseReturnCode;UDINT;0.10321.0
2910;reInitIsRequested;BOOL;0.10322.0
2911;reInitInProgress;BOOL;0.10323.0
2912;reInitIsRebootRequired;BOOL;0.10324.0
2916;reInitJobIgnoredErrorOptions;USINT;0.10328.0
2917;reInitRequestCounter;UDINT;0.10329.0
2918;reInitCounter;UDINT;0.10330.0
2928;config_X1A_13;UDINT;0.11301.0
2929;config_X1A_14;UDINT;0.11302.0
2930;config_X1A_15;UDINT;0.11303.0
2931;config_X1A_16;UDINT;0.11304.0
2932;config_X1A_18;UDINT;0.11305.0
2933;config_X1C_06;UDINT;0.11306.0
2934;config_X1C_07;UDINT;0.11307.0
2937;EncoderPosition;LINT;0.11600.0
2938;EncoderPosition;LINT;0.11600.1
2939;UserPosition;LINT;0.11601.0
2940;UserPosition;LINT;0.11601.1
2941;UserVelocity;REAL;0.11602.0
2942;UserVelocity;REAL;0.11602.1
2943;UserVelocityFiltered;REAL;0.11603.0
2944;UserVelocityFiltered;REAL;0.11603.1
2945;ElectricalAngle;UDINT;0.11604.0
2946;ElectricalAngle;UDINT;0.11604.1
2947;ElectricalFrequency;REAL;0.11605.0
2948;ElectricalFrequency;REAL;0.11605.1
2953;ZeroAngleOffsetEEPROM;LINT;0.11608.0
2954;ZeroAngleOffsetEEPROM;LINT;0.11608.1
2967;MechanicalPosition;LINT;0.11615.0
2968;MechanicalPosition;LINT;0.11615.1
2969;SelectedEncoder;UDINT;0.11616.0
2970;SelectedEncoder;UDINT;0.11616.1
2971;ActiveEncoder;UDINT;0.11617.0
2972;ActiveEncoder;UDINT;0.11617.1
2973;TimeConstantVelocityFilter;REAL;0.11618.0
2974;TimeConstantVelocityFilter;REAL;0.11618.1
2989;useZeroAngleOffsetOldTypeLabel;BOOL;0.11626.0
2990;useZeroAngleOffsetOldTypeLabel;BOOL;0.11626.1
2991;dhcpenable;BOOL;0.12000.0
2992;dhcpenable;BOOL;0.12000.1
2993;ipaddress;UDINT;0.12001.0
2994;ipaddress;UDINT;0.12001.1
2995;subnetmask;UDINT;0.12002.0
2996;subnetmask;UDINT;0.12002.1
2997;gateway;UDINT;0.12003.0
2998;gateway;UDINT;0.12003.1
2999;ipaddressActive;UDINT;0.12004.0
3000;ipaddressActive;UDINT;0.12004.1
3001;subnetmaskActive;UDINT;0.12005.0
3002;subnetmaskActive;UDINT;0.12005.1
3003;gatewayActive;UDINT;0.12006.0
3004;gatewayActive;UDINT;0.12006.1
3005;macAddress;USINT;0.12007.0
3006;macAddress;USINT;0.12007.1
3007;keepAliveEnable;BOOL;0.12008.0
3008;keepAliveIdle;UDINT;0.12009.0
3009;keepAlivePeriod;UDINT;0.12010.0
3010;keepAliveMaxprobe;UDINT;0.12011.0
3011;activeConnections;UINT;0.12012.0
3012;maxConnections;UINT;0.12013.0
3013;isActive;BOOL;0.12014.0
3014;isActive;BOOL;0.12014.1
3015;connectionId;UDINT;0.12015.0
3016;connectionId;UDINT;0.12015.1
3017;sourceIp;UDINT;0.12016.0
3018;sourceIp;UDINT;0.12016.1
3019;sourcePort;UINT;0.12017.0
3020;sourcePort;UINT;0.12017.1
3021;InternalTemperature;UDINT;0.12510.0
3022;ExternalTemperature;UDINT;0.12511.0
3025;EncoderSupplyVoltage;REAL;0.12514.0
3050;fMainsLimitLow;REAL;0.28140.0
3051;fMainsLimitHigh;REAL;0.28150.0
3052;vMainsLimitLowActive;REAL;0.28151.0
3053;vMainsLimitHighActive;REAL;0.28152.0
3057;syncTime;REAL;0.31235.0
3061;reqState;DINT;0.54543.0
3062;actState;DINT;0.54544.0
3063;dcVoltageFiltered;REAL;0.56783.0
3064;dcLinkState;DINT;0.56798.0
3065;dcVoltageWarnActive;REAL;0.56799.0
